"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#DearClassof2020: looking forward to celebrating you and your achievements on June 6th! https://t.co/ayo2rGZkPc https://t.co/ojfFGxVbGR",FALSE,312,NA,2020-05-05 20:07:00,FALSE,NA,"1257763748057513985",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",49,FALSE,FALSE,NA,NA
"RT @rosterloh: We've been helping to facilitate the production of ventilators at Alphabet; this is one of our projects to try to help.  htt…",FALSE,0,NA,2020-05-04 21:24:02,FALSE,NA,"1257420748060340224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",41,TRUE,FALSE,NA,NA
"RT @LorraineTwohill: More grateful than ever for the teachers in my life, including my dad and sisters. Proud of @googleforedu, @drakenic,…",FALSE,0,NA,2020-05-04 16:52:47,FALSE,NA,"1257352484005298177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",26,TRUE,FALSE,NA,NA
"Thank you to teachers everywhere working tirelessly to support their students in these tough times &amp; always. This… https://t.co/Mmzqm7D5Fr",FALSE,2110,NA,2020-05-04 13:33:38,TRUE,NA,"1257302367344537603",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",316,FALSE,FALSE,NA,NA
"Starting May 29 @YouTube will be hosting a 10-day digital film festival co-curated by over 20 international film fe… https://t.co/wnHTFCUFIT",FALSE,2577,NA,2020-04-27 20:00:20,TRUE,NA,"1254862970112237568",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",634,FALSE,FALSE,NA,NA
"RT @uhoelzle: Good use of 3D printers in our Silicon Valley hardware labs: making shields for local medical centers. 

https://t.co/Q5BpUkX…",FALSE,0,NA,2020-04-24 03:52:28,FALSE,NA,"1253532231361900546",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",102,TRUE,FALSE,NA,NA
"We’ve been carbon neutral since 2007 &amp; matched our electricity usage w/ 100% renewable energy since 2017. A new car… https://t.co/jW8UzbyKNp",FALSE,4325,NA,2020-04-22 13:04:28,TRUE,NA,"1252946372904382464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",684,FALSE,FALSE,NA,NA
"RT @demishassabis: In this moment of great need, it’s never been more urgent for the scientific community to come together to do everything…",FALSE,0,NA,2020-04-18 00:46:07,FALSE,NA,"1251311007659507712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",83,TRUE,FALSE,NA,NA
"RT @mgsiegler: Immensely proud to step up our involvement and investment in @Stripe — long one of the most impactful companies in the world…",FALSE,0,NA,2020-04-17 01:55:08,FALSE,NA,"1250965990579425280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",42,TRUE,FALSE,NA,NA
"Seeing how people are coming together to solve big challenges is what gives me hope for future generations. Thank y… https://t.co/N5ou6n3iSl",FALSE,1450,NA,2020-04-16 21:11:24,TRUE,NA,"1250894586391613440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",175,FALSE,FALSE,NA,NA
"RT @JeffDean: If you're an academic researcher applying computational approaches to tackling aspects of the COVID-19 pandemic, @GCPcloud is…",FALSE,0,NA,2020-04-15 04:24:12,FALSE,NA,"1250278729646927872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",272,TRUE,FALSE,NA,NA
"RT @WSJ: Anthony Fauci and Deborah Birx belong to a generation of physicians whose professional lives are bookended by two lethal viruses.…",FALSE,0,NA,2020-04-12 22:31:38,FALSE,NA,"1249465224496734208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",188,TRUE,FALSE,NA,NA
"Andrea Bocelli performs Live from Duomo di Milano with a message of love, healing and hope. Happy Easter! 
https://t.co/s4FXfjWNho",FALSE,3062,NA,2020-04-12 17:24:50,FALSE,NA,"1249388015400542208",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",435,FALSE,FALSE,NA,NA
"RT @NIHDirector: To help us get an better understanding of how much #COVID19 has spread undetected in the US, #NIH will study ~10K voluntee…",FALSE,0,NA,2020-04-11 03:59:52,FALSE,NA,"1248823054148333569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",1145,TRUE,FALSE,NA,NA
"To help public health officials slow the spread of #COVID19, Google &amp; @Apple are working on a contact tracing appro… https://t.co/P515VKCjlY",FALSE,27545,NA,2020-04-10 17:04:41,TRUE,NA,"1248658168990711808",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",7915,FALSE,FALSE,NA,NA
"We’re now supporting 2M+ new users on Google Meet each day, and 100M students+educators on Google Classroom. To hel… https://t.co/AHvdk6PHZb",FALSE,3446,NA,2020-04-09 18:55:26,TRUE,NA,"1248323655659950080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sundarpichai",796,FALSE,FALSE,NA,NA
"@KatieS @herb_jacobs Sorry for your loss Katie, thinking of you and your family. Take care",FALSE,540,"KatieS",2020-04-09 03:37:36,FALSE,"1248089378015997952","1248092674923450368","94143715","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",10,FALSE,FALSE,NA,NA
